trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.3, 'e': 1}",20,0,-45.022927493745875,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.3, 'e': 1}",25,0,-89.0811667204525,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
68,False,"{'a': 0.3, 'e': 1}",20,0,-94.51902074848331,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.3, 'e': 1}",25,0,-157.11238167139018,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
70,False,"{'a': 0.3, 'e': 1}",20,0,-105.2764909550439,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
71,False,"{'a': 0.3, 'e': 1}",25,0,-49.885321762986486,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
72,False,"{'a': 0.3, 'e': 1}",25,0,-66.36929793660063,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
73,False,"{'a': 0.3, 'e': 1}",30,18,-42.61911305457057,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.3, 'e': 1}",25,0,-190.8165098398046,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
75,False,"{'a': 0.3, 'e': 1}",20,0,-117.55441268723142,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
76,False,"{'a': 0.3, 'e': 1}",20,0,-163.75521878880124,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
77,False,"{'a': 0.3, 'e': 1}",25,0,-168.63401285922896,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
78,False,"{'a': 0.3, 'e': 1}",35,0,-159.68630167523384,"{0: 21, 1: 7, 2: 4, 3: 1, 4: 2}",0
79,False,"{'a': 0.3, 'e': 1}",20,0,-136.3495107302333,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
80,False,"{'a': 0.3, 'e': 1}",25,0,-181.1912950610277,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
81,False,"{'a': 0.3, 'e': 1}",20,0,-151.26773476109835,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
82,False,"{'a': 0.3, 'e': 1}",20,0,-39.43082319561453,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
83,False,"{'a': 0.3, 'e': 1}",25,0,-171.69248172322577,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
84,False,"{'a': 0.3, 'e': 1}",20,0,-60.4640203357636,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.3, 'e': 1}",20,0,-88.22552251123757,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
86,False,"{'a': 0.3, 'e': 1}",20,0,-128.58023433564742,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.3, 'e': 1}",25,0,-83.87994451610429,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
88,False,"{'a': 0.3, 'e': 1}",25,0,-88.31657356815784,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
89,False,"{'a': 0.3, 'e': 1}",20,0,-129.1549261612759,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
90,False,"{'a': 0.3, 'e': 1}",30,0,-279.02760806460753,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 5}",0
